Date,Open,High,Low,Close,Adj Close,Volume
2/6/2019,755.55,766.95,754.35,763.3,735.57,5880482
2/7/2019,763.05,769.45,761,764,736.24,3961797
2/8/2019,760,772.25,754.9,760.9,733.25,5915169
2/11/2019,766.9,768.75,759,762.8,735.09,5500216
2/12/2019,760.35,760.35,741,750.45,723.18,7310690
2/14/2019,751,753,737.25,740.05,713.16,4610535
2/15/2019,742.3,746.5,732.6,741.95,714.99,5586389
2/18/2019,742.35,747.65,736,741.05,714.13,5346825
2/19/2019,739.1,740.55,721.3,724.3,697.98,9401334
2/20/2019,727,743,726.05,740.7,713.79,5210675
2/21/2019,738,738,727.1,733.45,706.8,7202786
2/22/2019,732.5,738.2,728,734.95,708.25,3750833
2/25/2019,735.55,758,735.55,754.9,727.47,6547552
2/26/2019,748.6,752.6,740.15,742.5,715.52,8319610
2/27/2019,745,746.4,732.75,735.25,708.54,5936354
2/28/2019,738.7,742.4,732.3,734.3,707.62,8559921
3/1/2019,735.5,743.4,735.5,741.9,714.94,3998826
3/5/2019,740.5,742.5,730.25,732.5,705.89,4826505
3/6/2019,736.1,736.1,727,732.5,705.89,6076668
3/7/2019,734,734.5,720.55,722.95,696.68,5951551
3/8/2019,722.95,722.95,710.65,712.35,686.47,7193994
3/11/2019,713.3,718.5,709.4,711.25,685.41,9932198
3/12/2019,709,714.95,705.6,706.95,681.26,11997387
3/13/2019,710,718.6,706.3,708.45,682.71,11348867
3/14/2019,714,714.9,706.2,708.35,682.61,6415187
3/15/2019,712,723.75,709.6,718.55,692.44,14638664
3/18/2019,721.55,723.7,705.35,710.2,684.4,8065544
3/19/2019,712.8,726.5,707.4,722.25,696.01,8917337
3/20/2019,727.25,742.3,727.15,738.95,712.1,13471173
3/22/2019,745,746.35,732.3,743.1,716.1,8883260
3/25/2019,742.4,742.4,730.55,734.8,708.1,6373712
3/28/2019,730,745,730,737.8,710.99,9277241
4/1/2019,742,760,742,755.1,727.66,6584982
4/2/2019,759,765.8,754.6,759.4,731.81,7283600
4/3/2019,756,758.5,746.8,753.3,725.93,6897127
4/4/2019,751.4,753.8,745.1,747.9,720.73,7688525
4/5/2019,750.9,760.95,748,759.3,731.71,6276040
4/8/2019,763.05,770,755.4,767.25,739.37,4919911
4/9/2019,770,773,758.2,760.6,732.96,6730692
4/10/2019,764,766.7,751.3,752.7,725.35,7031088
4/11/2019,751.75,751.75,740.05,742.7,715.72,8200995
4/12/2019,743.1,751.55,740.6,747.75,720.58,7043212
